City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Akil,MX,80.87,light rain,20.25,-89.35,CASA DE ROSENDO
466,Touros,BR,86.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
467,Maputo,MZ,73.99,broken clouds,-25.97,32.59,Pestana Rovuma
470,Mogadishu,SO,82.4,broken clouds,2.04,45.34,Hotel Juba
471,Lahat,ID,72.59,overcast clouds,-3.8,103.53,Bukit Serelo Hotel
473,Kiri Buru,IN,71.62,few clouds,22.08,85.35,Lucky India
474,Eirunepe,BR,88.74,broken clouds,-6.66,-69.87,Pousada Novo Acre
476,De Aar,ZA,77.09,clear sky,-30.65,24.01,Nyibiba Guesthouse
478,Riohacha,CO,87.39,broken clouds,11.54,-72.91,Hotel Taroa
479,West Bay,KY,87.8,few clouds,19.37,-81.42,Calypso Cove
482,Awjilah,LY,70.41,clear sky,29.11,21.29,
483,Boyolangu,ID,76.44,light rain,-8.12,111.89,Yos ega cv
484,Puerto Escondido,MX,84.97,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
485,Hambantota,LK,80.6,overcast clouds,6.12,81.12,Bungalow 63
492,Puerto Narino,CO,84.2,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
493,Meulaboh,ID,77.41,light rain,4.14,96.13,Kost Pria
498,Ixtapa,MX,84.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
499,Caravelas,BR,71.64,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
502,Kupang,ID,81.01,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
503,Roura,GF,82.4,broken clouds,4.73,-52.33,Amazonie Découverte SARL
504,Kifri,IQ,71.62,clear sky,34.7,44.97,میزان کفری
506,Itinga,BR,70.74,light rain,-16.61,-41.77,Pousada Barbosa
507,Qui Nhon,VN,77.16,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
508,Springbok,ZA,84.2,clear sky,-29.66,17.89,Undulata Country Lodge
511,Naze,JP,77.0,light rain,28.37,129.48,奄美ポートタワーホテル
514,Jalu,LY,70.92,clear sky,29.03,21.55,Jalu Hotel
515,Teknaf,BD,76.03,light rain,20.86,92.31,Magnum Engineering & Construction
516,Kailua,US,71.6,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
517,Porto Novo,BJ,86.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
518,Ambovombe,MG,70.0,clear sky,-25.17,46.08,MONJA Talilisoa
520,Sabang,ID,82.17,light rain,5.89,95.32,Hotel Citra
522,Neuquen,AR,80.6,clear sky,-38.95,-68.06,Hotel del Comahue
523,Bonthe,SL,84.7,light rain,7.53,-12.51,Bonthe Holiday Village
525,Kapoeta,SS,87.39,overcast clouds,4.77,33.59,Eastgate Hotel
527,Key Largo,US,84.0,clear sky,25.09,-80.45,Bayside Inn Key Largo
529,Kampong Cham,KH,77.47,overcast clouds,11.99,105.46,7 Makara Hotel
531,Kutum,SD,84.2,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
532,Saint Augustine,US,80.6,broken clouds,29.89,-81.31,St. George Inn
535,Santander,ES,77.0,clear sky,43.46,-3.8,Abba Santander Hotel
537,Bundaberg,AU,73.4,overcast clouds,-24.85,152.35,Takalvan Motel
538,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
539,Road Town,VG,86.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
545,Santiago Del Estero,AR,82.83,clear sky,-27.8,-64.26,Hotel Urbano
548,Puerto Madryn,AR,86.7,clear sky,-42.77,-65.04,Hotel Tolosa
550,Montepuez,MZ,79.68,broken clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
553,Namatanai,PG,80.35,light rain,-3.67,152.43,Namatanai Hotel
555,Yenagoa,NG,82.36,moderate rain,4.92,6.26,Amba Hotels Limited
557,Hirara,JP,76.96,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
558,Santa Maria,BR,73.81,few clouds,-29.68,-53.81,Hotel Morotin
559,Elizabeth City,US,71.6,overcast clouds,36.29,-76.25,Hampton Inn Elizabeth City
561,Monrovia,LR,82.65,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
565,Pochutla,MX,86.0,few clouds,15.74,-96.47,Hotel Posada San Jose
568,Kasongo-Lunda,CD,83.79,few clouds,-6.47,16.82,
569,Havelock,US,73.99,broken clouds,34.88,-76.9,Sherwood Motel
571,Thinadhoo,MV,83.86,light rain,0.53,72.93,
572,Juba,SS,83.89,broken clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
575,Sibolga,ID,77.13,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
578,Tamazunchale,MX,74.37,few clouds,21.27,-98.78,Hotel Paraiso Huasteco
582,Vanimo,PG,79.18,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
584,Grand Gaube,MU,70.0,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
585,Nong Kung Si,TH,82.0,scattered clouds,16.65,103.3,บ้าน พี่บิ๊ก
594,Conde,BR,86.0,scattered clouds,-7.26,-34.91,Pousada Beija Flor
595,Barpeta,IN,78.8,mist,26.32,91.0,MJ GUEST HOUSE
599,Kasongo,CD,74.53,light rain,-4.45,26.67,Guest Hôtel
601,Cap Malheureux,MU,70.0,few clouds,-19.98,57.61,Pereybere Hotel & Spa
602,Vallenar,CL,81.52,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
603,Carutapera,BR,89.44,broken clouds,-1.2,-46.02,Lidera
610,San Pedro,PH,77.0,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
611,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
612,Luanda,AO,82.4,scattered clouds,-8.84,13.23,EPIC SANA Luanda
613,Kununurra,AU,80.6,broken clouds,-15.77,128.73,Hotel Kununurra
614,Mitsamiouli,KM,78.3,overcast clouds,-11.38,43.28,Foyer ADM
615,Paraiso,CR,73.99,broken clouds,9.84,-83.87,Rinconcito Verde
617,Luangwa,ZM,88.54,scattered clouds,-15.62,30.42,Gerasimos Safari Lodge
618,Isiro,CD,72.09,overcast clouds,2.77,27.62,Nova
620,Padang,ID,79.3,moderate rain,-0.95,100.35,Mercure Padang
